style,image_id_1,image_id_2,similarity,flag
Bauhaus architecture,ARC_0031,ARC_0043,0.7029,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0031,ARC_0050,0.791,HIGH_SIMILARITY
Bauhaus architecture,ARC_0031,ARC_0055,0.708,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0032,ARC_0033,0.7216,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0032,ARC_0034,0.7094,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0032,ARC_0036,0.7514,HIGH_SIMILARITY
Bauhaus architecture,ARC_0032,ARC_0037,0.7867,HIGH_SIMILARITY
Bauhaus architecture,ARC_0032,ARC_0039,0.7094,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0032,ARC_0041,0.7185,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0032,ARC_0042,0.7293,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0032,ARC_0047,0.7493,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0032,ARC_0049,0.9397,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0032,ARC_0050,0.7519,HIGH_SIMILARITY
Bauhaus architecture,ARC_0032,ARC_0051,0.7552,HIGH_SIMILARITY
Bauhaus architecture,ARC_0032,ARC_0052,0.744,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0032,ARC_0053,0.7339,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0032,ARC_0054,0.7229,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0032,ARC_0055,0.7477,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0034,0.7374,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0035,0.8376,HIGH_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0036,0.7167,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0037,0.7755,HIGH_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0038,0.8383,HIGH_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0039,0.8502,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0040,0.8292,HIGH_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0041,0.9061,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0043,0.868,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0046,0.7777,HIGH_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0047,0.8939,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0048,0.9039,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0049,0.7176,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0050,0.7729,HIGH_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0051,0.7992,HIGH_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0052,0.8617,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0053,0.7071,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0054,0.791,HIGH_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0055,0.9109,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0033,ARC_0056,0.7625,HIGH_SIMILARITY
Bauhaus architecture,ARC_0034,ARC_0035,0.7161,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0034,ARC_0037,0.7251,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0034,ARC_0038,0.7099,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0034,ARC_0039,0.7374,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0034,ARC_0040,0.7608,HIGH_SIMILARITY
Bauhaus architecture,ARC_0034,ARC_0041,0.7568,HIGH_SIMILARITY
Bauhaus architecture,ARC_0034,ARC_0043,0.7407,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0034,ARC_0047,0.7558,HIGH_SIMILARITY
Bauhaus architecture,ARC_0034,ARC_0048,0.7488,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0034,ARC_0049,0.7005,MODERATE_SIMILARITY
